AGCENSUS_cat,AGCENSUS_group,AGCENSUS_subclass,QID,QDesc,LU_CODE,Detailed_Class,Summary_Class
beef-cows-in-calf,cattle,individual,245,Beef cows in calf but not in milk,#N/A,#N/A,#N/A
beef-cows-in-milk,cattle,individual,243,Beef cows and heifers in milk,#N/A,#N/A,#N/A
beef-heifers-2-years-and-over,cattle,individual,247,Beef heifers 2 years old and over in calf for the first time,#N/A,#N/A,#N/A
beef-heifers-under-2-years,cattle,individual,249,Beef heifers under 2 years old in calf for the first time,#N/A,#N/A,#N/A
bulls-for-service-2-years-and-over,cattle,individual,242,Bulls for service aged two years old and over,#N/A,#N/A,#N/A
bulls-for-service-under-2-years,cattle,individual,241,Bulls for service aged between 1 and 2 years old,#N/A,#N/A,#N/A
calves-and-store-cattle-bought-1-to-2-years,cattle,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
calves-and-store-cattle-bought-2-years-and-over,cattle,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
calves-and-store-cattle-bought-6-months-to-1-year,cattle,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
calves-and-store-cattle-bought-under-6-months,cattle,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
calves-and-store-cattle-sold-1-to-2-years,cattle,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
calves-and-store-cattle-sold-2-years-and-over,cattle,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
calves-and-store-cattle-sold-6-months-to-1-year,cattle,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
calves-and-store-cattle-sold-under-6-months,cattle,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
dairy-cows-in-calf,cattle,individual,246,Dairy cows in calf but not in milk,#N/A,#N/A,#N/A
dairy-cows-in-milk,cattle,individual,244,Dairy cows and heifers in milk,#N/A,#N/A,#N/A
dairy-heifers-2-years-and-over,cattle,individual,248,Dairy heifers 2 years old and over in calf for the first time,#N/A,#N/A,#N/A
dairy-heifers-under-2-years,cattle,individual,250,Dairy heifers under 2 years old in calf for the first time,#N/A,#N/A,#N/A
female-beef-cattle-1-to-2-years,cattle,individual,381,Female beef cattle for breeding aged between 1 and 2 years,#N/A,#N/A,#N/A
female-beef-cattle-aged-1-2-years,cattle,individual,381,Female beef cattle for breeding aged between 1 and 2 years,#N/A,#N/A,#N/A
female-beef-cattle-under-1-year,cattle,individual,392,Female cattle aged between 6 months and 1 year,#N/A,#N/A,#N/A
female-beef-cattle-with-offspring-aged-2-years-and-over,cattle,individual,385,Female beef cattle aged 2 years and over for breeding,#N/A,#N/A,#N/A
female-beef-cattle-without-offspring-aged-2-years-and-over,cattle,individual,386,Female cattle aged 2 years and over not for breeding,#N/A,#N/A,#N/A
female-dairy-cattle-1-to-2-years,cattle,individual,384,Female dairy cattle for breeding aged between 1 and 2 years,#N/A,#N/A,#N/A
female-dairy-cattle-aged-1-2-years,cattle,individual,384,Female dairy cattle for breeding aged between 1 and 2 years,#N/A,#N/A,#N/A
female-dairy-cattle-under-1-year,cattle,individual,392,Female cattle aged between 6 months and 1 year,#N/A,#N/A,#N/A
female-dairy-cattle-with-offspring-aged-2-years-and-over,cattle,individual,385,Female beef cattle aged 2 years and over for breeding,#N/A,#N/A,#N/A
female-dairy-cattle-without-offspring-aged-2-years-and-over,cattle,individual,386,Female cattle aged 2 years and over not for breeding,#N/A,#N/A,#N/A
male-cattle-1-to-2-years,cattle,individual,383,Male cattle aged between 1 and 2 years,#N/A,#N/A,#N/A
male-cattle-2-years-and-over,cattle,individual,387,Male cattle aged 2 years and over,#N/A,#N/A,#N/A
male-cattle-aged-1-2-years,cattle,individual,383,Male cattle aged between 1 and 2 years,#N/A,#N/A,#N/A
male-cattle-aged-2-years-and-over,cattle,individual,387,Male cattle aged 2 years and over,#N/A,#N/A,#N/A
male-cattle-under-1-year,cattle,individual,391,Male cattle aged between 6 months and 1year,#N/A,#N/A,#N/A
other-female-beef-cattle-1-to-2-years,cattle,individual,382,Female cattle not for breeding aged between 1 and 2 years,#N/A,#N/A,#N/A
other-female-beef-cattle-2-years-and-over,cattle,individual,386,Female cattle aged 2 years and over not for breeding,#N/A,#N/A,#N/A
other-female-cattle-6-months-to-1-year,cattle,individual,185,Female cattle aged under 6 months old,#N/A,#N/A,#N/A
other-female-cattle-under-6-months,cattle,individual,185,Female cattle aged under 6 months old,#N/A,#N/A,#N/A
other-female-dairy-cattle-1-to-2-years,cattle,individual,384,Female dairy cattle for breeding aged between 1 and 2 years,#N/A,#N/A,#N/A
other-female-dairy-cattle-2-years-and-over,cattle,individual,388,Female dairy cattle aged 2 years and over for breeding,#N/A,#N/A,#N/A
other-female-non-breeding-cattle-1-to-2-years,cattle,individual,382,Female cattle not for breeding aged between 1 and 2 years,#N/A,#N/A,#N/A
other-female-non-breeding-cattle-2-years-and-over,cattle,individual,386,Female cattle aged 2 years and over not for breeding,#N/A,#N/A,#N/A
other-male-cattle-1-to-2-years,cattle,individual,383,Male cattle aged between 1 and 2 years,#N/A,#N/A,#N/A
other-male-cattle-2-years-and-over,cattle,individual,387,Male cattle aged 2 years and over,#N/A,#N/A,#N/A
other-male-cattle-6-months-to-1-year,cattle,individual,186,Male cattle aged under 6 months old,#N/A,#N/A,#N/A
other-male-cattle-under-6-months,cattle,individual,186,Male cattle aged under 6 months old,#N/A,#N/A,#N/A
total-cattle,cattle,total,183,Total cattle,#N/A,#N/A,#N/A
