Variable,Evar,Resolution,H5naming
fivekmgrid.lat,Scot-Lat,Nontemporal,lat-data-Scot-Lat
fivekmgrid.elev,Scot-DEM,Nontemporal,elev-data-Scot-DEM
onekmgrid.ndep,n-dep,Annual,one-km-grids-n-deposition-n-dep-YEAR
fivekmgrid.mon.tas,MeanTemp,Monthly,five-km-grids-meteorological-data-monthly-MeanTemp-MeanTemp-YEAR-MONTH
fivekmgrid.mon.tasmin,MinTemp,Monthly,five-km-grids-meteorological-data-monthly-MinTemp-MinTemp-YEAR-MONTH
fivekmgrid.mon.tasmax,MaxTemp,Monthly,five-km-grids-meteorological-data-monthly-MaxTemp-MaxTemp-YEAR-MONTH
fivekmgrid.mon.sun,Sunshine,Monthly,five-km-grids-meteorological-data-monthly-Sunshine-Sunshine-YEAR-MONTH
fivekmgrid.mon.sfcWind,MeanWindspeed,Monthly,five-km-grids-meteorological-data-monthly-MeanWindspeed-MeanWindspeed-YEAR-MONTH
fivekmgrid.mon.rainfall,Rainfall,Monthly,five-km-grids-meteorological-data-monthly-Rainfall-Rainfall-YEAR-MONTH
fivekmgrid.mon.pv,VapourPressure,Monthly,five-km-grids-meteorological-data-monthly-VapourPressure-VapourPressure-YEAR-MONTH
fivekmgrid.mon.hurs,RelativeHumidity,Monthly,five-km-grids-meteorological-data-monthly-RelativeHumidity-RelativeHumidity-YEAR-MONTH
fivekmgrid.mon.pet.thorn,Thorn-PET,Monthly,five-km-grids-meteorological-data-monthly-Thorn-PET-Thorn-PET-YEAR-MONTH
fivekmgrid.mon.pet.pm,PM-PET,Monthly,five-km-grids-meteorological-data-monthly-PM-PET-PM-PET-YEAR-MONTH
fivekmgrid.day.tas,mean-temp,Daily,five-km-grids-meteorological-data-daily-mean-temp-mean-temp-YEAR-mean-temp-YEAR-MONTH-DAY
fivekmgrid.day.tasmin,min-temp,Daily,five-km-grids-meteorological-data-daily-min-temp-min-temp-YEAR-min-temp-YEAR-MONTH-DAY
fivekmgrid.day.tasmax,max-temp,Daily,five-km-grids-meteorological-data-daily-max-temp-max-temp-YEAR-max-temp-YEAR-MONTH-DAY
fivekmgrid.day.rainfall,rainfall,Daily,five-km-grids-meteorological-data-daily-rainfall-rainfall-YEAR-rainfall-YEAR-MONTH-DAY
