"day" "day_of_year" "in_gr" "in_sp" "in_wi" "month" "or_gr" "or_sp" "or_wi" "up_gr" "up_ot" "up_sp" "up_wi" "zeros"
"1" 1 1 0 0 0 1 0 0 0 0 0 0 0 0
"2" 2 2 0 0 0 1 0 0 0 0 0 0 0 0
"3" 3 3 0 0 0 1 0 0 0 0 0 0 0 0
"4" 4 4 0 0 0 1 0 0 0 0 0 0 0 0
"5" 5 5 0 0 0 1 0 0 0 0 0 0 0 0
"6" 6 6 0 0 0 1 0 0 0 0 0 0 0 0
"7" 7 7 0 0 0 1 0 0 0 0 0 0 0 0
"8" 8 8 0 0 0 1 0 0 0 0 0 0 0 0
"9" 9 9 0 0 0 1 0 0 0 0 0 0 0 0
"10" 10 10 0 0 0 1 0 0 0 0 0 0 0 0
"11" 11 11 0 0 0 1 0 0 0 0 0 0 0 0
"12" 12 12 0 0 0 1 0 0 0 0 0 0 0 0
"13" 13 13 0 0 0 1 0 0 0 0 0 0 0 0
"14" 14 14 0 0 0 1 0 0 0 0 0 0 0 0
"15" 15 15 0 0 0 1 0 0 0 0 0 0 0 0
"16" 16 16 0 0 0 1 0 0 0 0 0 0 0 0
"17" 17 17 0 0 0 1 0 0 0 0 0 0 0 0
"18" 18 18 0 0 0 1 0 0 0 0 0 0 0 0
"19" 19 19 0 0 0 1 0 0 0 0 0 0 0 0
"20" 20 20 0 0 0 1 0 0 0 0 0 0 0 0
"21" 21 21 0 0 0 1 0 0 0 0 0 0 0 0
"22" 22 22 0 0 0 1 0 0 0 0 0 0 0 0
"23" 23 23 0 0 0 1 0 0 0 0 0 0 0 0
"24" 24 24 0 0 0 1 0 0 0 0 0 0 0 0
"25" 25 25 0 0 0 1 0 0 0 0 0 0 0 0
"26" 26 26 0 0 0 1 0 0 0 0 0 0 0 0
"27" 27 27 0 0 0 1 0 0 0 0 0 0 0 0
"28" 28 28 0 0 0 1 0 0 0 0 0 0 0 0
"29" 29 29 0 0 0 1 0 0 0 0 0 0 0 0
"30" 30 30 0 0 0 1 0 0 0 0 0 0 0 0
"31" 31 31 0 0 0 1 0 0 0 0 0 0 0 0
"32" 1 32 0 0 0 2 0 0 0 0 0 0 0 0
"33" 2 33 0 0 0 2 0 0 0 0 0 0 0 0
"34" 3 34 0 0 0 2 0 0 0 0 0 0 0 0
"35" 4 35 0 0 0 2 0 0 0 0 0 0 0 0
"36" 5 36 0 0 0 2 0 0 0 0 0 0 0 0
"37" 6 37 0 0 0 2 0 0 0 0 0 0 0 0
"38" 7 38 0 0 0 2 0 0 0 0 0 0 0 0
"39" 8 39 0 0 0 2 0 0 0 0 0 0 0 0
"40" 9 40 0 0 0 2 0 0 0 0 0 0 0 0
"41" 10 41 0 0 0 2 0 0 0 0 0 0 0 0
"42" 11 42 0 0 0 2 0 0 0 0 0 0 0 0
"43" 12 43 0 0 0 2 0 0 0 0 0 0 0 0
"44" 13 44 0 0 0 2 0 0 0 0 0 0 0 0
"45" 14 45 0 0 0 2 0 0 0 0 0 0 0 0
"46" 15 46 0.00600000005215406 0.0199999995529652 0.00999999977648258 2 0 0.0199999995529652 0.00999999977648258 0 0 0 0 0
"47" 16 47 0.00600000005215406 0.0199999995529652 0.00999999977648258 2 0 0.0199999995529652 0.00999999977648258 0 0 0 0 0
"48" 17 48 0.00600000005215406 0.0199999995529652 0.00999999977648258 2 0 0.0199999995529652 0.00999999977648258 0 0 0 0 0
"49" 18 49 0.00600000005215406 0.0199999995529652 0.00999999977648258 2 0 0.0199999995529652 0.00999999977648258 0 0 0 0 0
"50" 19 50 0.00600000005215406 0.0199999995529652 0.00999999977648258 2 0 0.0199999995529652 0.00999999977648258 0 0 0 0 0
"51" 20 51 0.00600000005215406 0.0199999995529652 0.00999999977648258 2 0 0.0199999995529652 0.00999999977648258 0 0 0 0 0
