day	day_of_year	in_gr	in_sp	in_wi	month	or_gr	or_sp	or_wi	up_gr	up_ot	up_sp	up_wi	zeros
1	1	0	0	0	1	0	0	0	0	0	0	0	0
2	2	0	0	0	1	0	0	0	0	0	0	0	0
3	3	0	0	0	1	0	0	0	0	0	0	0	0
4	4	0	0	0	1	0	0	0	0	0	0	0	0
5	5	0	0	0	1	0	0	0	0	0	0	0	0
6	6	0	0	0	1	0	0	0	0	0	0	0	0
7	7	0	0	0	1	0	0	0	0	0	0	0	0
8	8	0	0	0	1	0	0	0	0	0	0	0	0
9	9	0	0	0	1	0	0	0	0	0	0	0	0
10	10	0	0	0	1	0	0	0	0	0	0	0	0
11	11	0	0	0	1	0	0	0	0	0	0	0	0
12	12	0	0	0	1	0	0	0	0	0	0	0	0
13	13	0	0	0	1	0	0	0	0	0	0	0	0
14	14	0	0	0	1	0	0	0	0	0	0	0	0
15	15	0	0	0	1	0	0	0	0	0	0	0	0
16	16	0	0	0	1	0	0	0	0	0	0	0	0
17	17	0	0	0	1	0	0	0	0	0	0	0	0
18	18	0	0	0	1	0	0	0	0	0	0	0	0
19	19	0	0	0	1	0	0	0	0	0	0	0	0
20	20	0	0	0	1	0	0	0	0	0	0	0	0
21	21	0	0	0	1	0	0	0	0	0	0	0	0
22	22	0	0	0	1	0	0	0	0	0	0	0	0
23	23	0	0	0	1	0	0	0	0	0	0	0	0
24	24	0	0	0	1	0	0	0	0	0	0	0	0
25	25	0	0	0	1	0	0	0	0	0	0	0	0
26	26	0	0	0	1	0	0	0	0	0	0	0	0
27	27	0	0	0	1	0	0	0	0	0	0	0	0
28	28	0	0	0	1	0	0	0	0	0	0	0	0
29	29	0	0	0	1	0	0	0	0	0	0	0	0
30	30	0	0	0	1	0	0	0	0	0	0	0	0
1	31	0	0	0	2	0	0	0	0	0	0	0	0
2	32	0	0	0	2	0	0	0	0	0	0	0	0
3	33	0	0	0	2	0	0	0	0	0	0	0	0
4	34	0	0	0	2	0	0	0	0	0	0	0	0
5	35	0	0	0	2	0	0	0	0	0	0	0	0
6	36	0	0	0	2	0	0	0	0	0	0	0	0
7	37	0	0	0	2	0	0	0	0	0	0	0	0
8	38	0	0	0	2	0	0	0	0	0	0	0	0
9	39	0	0	0	2	0	0	0	0	0	0	0	0
10	40	0	0	0	2	0	0	0	0	0	0	0	0
11	41	0	0	0	2	0	0	0	0	0	0	0	0
12	42	0	0	0	2	0	0	0	0	0	0	0	0
13	43	0	0	0	2	0	0	0	0	0	0	0	0
14	44	0	0	0	2	0	0	0	0	0	0	0	0
15	45	0.006024096	0.019607843	0.009803922	2	0	0.019607843	0.009803922	0	0	0	0	0
16	46	0.006024096	0.019607843	0.009803922	2	0	0.019607843	0.009803922	0	0	0	0	0
17	47	0.006024096	0.019607843	0.009803922	2	0	0.019607843	0.009803922	0	0	0	0	0
18	48	0.006024096	0.019607843	0.009803922	2	0	0.019607843	0.009803922	0	0	0	0	0
19	49	0.006024096	0.019607843	0.009803922	2	0	0.019607843	0.009803922	0	0	0	0	0
20	50	0.006024096	0.019607843	0.009803922	2	0	0.019607843	0.009803922	0	0	0	0	0
21	51	0.006024096	0.019607843	0.009803922	2	0	0.019607843	0.009803922	0	0	0	0	0
22	52	0.006024096	0.019607843	0.009803922	2	0	0.019607843	0.009803922	0	0	0	0	0
23	53	0.006024096	0.019607843	0.009803922	2	0	0.019607843	0.009803922	0	0	0	0	0
24	54	0.006024096	0.019607843	0.009803922	2	0	0.019607843	0.009803922	0	0	0	0	0
25	55	0.006024096	0.019607843	0.009803922	2	0	0.019607843	0.009803922	0	0	0	0	0
26	56	0.006024096	0.019607843	0.009803922	2	0	0.019607843	0.009803922	0	0	0	0	0
27	57	0.006024096	0.019607843	0.009803922	2	0	0.019607843	0.009803922	0	0	0	0	0
28	58	0.006024096	0.019607843	0.009803922	2	0	0.019607843	0.009803922	0	0	0	0	0
29	59	0.006024096	0.019607843	0.009803922	2	0	0.019607843	0.009803922	0	0	0	0	0
30	60	0.006024096	0.019607843	0.009803922	2	0	0.019607843	0.009803922	0	0	0	0	0
1	61	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0	0	0	0	0
2	62	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0	0	0	0	0
3	63	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0	0	0	0	0
4	64	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0	0	0	0	0
5	65	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0	0	0	0	0
6	66	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0	0	0	0	0
7	67	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0	0	0	0	0
8	68	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0	0	0	0	0
9	69	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0	0	0	0	0
10	70	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0	0	0	0	0
11	71	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0	0	0	0	0
12	72	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0	0	0	0	0
13	73	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0	0	0	0	0
14	74	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0	0	0	0	0
15	75	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0	0	0	0	0
16	76	0.006024096	0.019607843	0.009803922	3	0.005555556	0.019607843	0.009803922	0.002446234	0.002446234	0.004173878	0.003759017	0
